population,gdp_per_capita,recycling_rate,household_size,industrial_waste,plastic_waste,total_waste
126958,21326.155614545594,32.78983215695383,2.8428198554688127,4381268.678793236,762.3669347238554,1315326.7640964917
676155,14396.946524604606,34.58319719410292,5.829792076152385,3438479.9555104687,917.3893935453632,1033732.1855779814
136932,3762.3993358954285,74.24207182661307,2.0354531404538756,4357828.061838768,593.5168155360959,1307907.6113087123
370838,43371.396436497605,53.132902134020355,5.991283422727912,2029255.5454998766,221.74589303426055,610079.9713315772
264178,40832.1494473738,34.90461593248029,4.7072851954295825,1317605.0041323155,305.35773427868827,396344.5082233091
649167,49986.165991020396,58.826702664873466,5.313877197796469,3610472.999692513,238.71234805253548,1085144.3560969457
115268,49835.20501662137,67.29205393785548,3.1784775853847727,1528779.7785614573,284.51417621594624,459673.9540647355
737180,28216.153574528744,31.8099200586827,2.05726111066824,1410280.678040586,341.09467688348457,425152.78765000135
59886,38680.38334384502,43.08392812202812,4.95147807424612,1115351.4256365355,577.3770974155291,335301.6047504692
142337,47293.52076423897,19.750887466955803,5.336578388002703,661884.2939688779,608.5920479906412,199978.81414475865
526430,42632.72214319316,24.491947962774425,4.9619045278140765,1221002.099083938,455.1747598797681,368151.5521978322
959698,13120.056985416686,64.48942831719862,2.5714011492033544,1656960.0907698448,634.6497408297937,499514.8612396693
92498,23076.662630194583,24.515067815650156,5.013711689027876,3062314.457922671,127.49617933079763,919238.9029255883
904159,7328.811342423254,52.01307069336481,5.075691128430564,365910.95418778143,133.39882520525197,111788.66833176007
917756,47748.500335677396,66.72370093779462,4.63416206268022,1018335.6039241625,213.23798733977551,307916.0945253147
180203,30702.557088093123,18.55015384757951,5.064463731182345,3657794.253686293,542.1736231383275,1098429.4156906635
196335,12203.497469669674,55.38497757031229,5.383685758710929,737925.6830044291,253.2949447633979,222033.1182885128
283167,33913.33353588698,30.5250226961091,4.454416456949834,1601065.09616432,319.1201833179485,481428.6899448583
46090,31288.283782436894,87.03415001900639,2.3544188558787162,3903145.8453943976,430.29719436434436,1171588.8169654016
334365,18549.973183609185,48.683651737593976,3.9505112386688435,773220.6221425821,821.2728178098608,233269.3585917101
69820,6564.322017781822,74.47940398201266,2.3105973386864203,454869.44507621747,63.169029117217114,136732.74772694096
792201,33907.08658404718,54.01812337250094,3.6301721241297233,2226812.5583028477,666.9098792247913,670508.0571702558
326879,26495.077344285874,13.473002628385533,3.6284259565025105,1423670.0447383455,685.4327044886511,428568.4819273473
723315,38843.60119504633,60.65211004752179,2.2640393765609663,2574630.8873737967,808.7229913388047,774880.7184346706
332069,26488.011554487675,86.11226737653256,3.3952821358779173,3634779.5670321253,936.1152921072976,1092063.2737479694
781997,42756.89351560846,58.1289456117065,2.4439923951652593,694824.8327535974,69.13095650182534,210443.44539566012
204041,28043.43509994979,75.53510875414321,5.232940840036889,2650882.962884397,196.09452023755537,796197.0257156903
796743,28485.960605233926,80.73651706787263,5.7907521038578835,2319293.6333192997,891.8627293531933,698179.9046930713
108355,43956.0265302589,28.246381755914598,2.2892659010317544,725387.4463182101,485.59263407766457,218532.3858767861
240796,20770.660444407455,26.96358719265813,5.820460829166805,2841833.3211828126,586.3611069867903,853581.0818518223
219176,7566.7461940813955,58.87847910807934,4.09030639734698,1296754.242766003,679.87584353699,390141.7185961628
189779,2410.3511393536096,42.882277584536375,3.1982627118154956,2241349.344779095,695.1132742708555,673403.1702882055
352449,38001.72552800733,77.18890422933762,2.307448301104654,452820.9500618429,935.1533831506828,137642.21596203698
426909,31395.168016319767,82.00184987184089,4.002497072281671,2116765.6923120776,997.1019465410861,637018.5541157542
994436,35499.908636861954,38.27371034421745,5.178062177962994,1441503.8940688376,734.1495878843932,435244.9923656704
263795,11435.243913936625,28.949644717958563,4.828345909066792,3716701.141327413,322.86014874489325,1115935.84070078
491232,7682.202303751718,72.44204121950895,2.200904045855895,341276.18605839415,885.7647821796264,104057.04216341149
922040,1712.6886177262145,31.984482843850888,2.291607341471614,1936058.082389835,96.75986881372353,582840.910534251
505186,18178.790381523253,75.80914548109428,3.6114931305305484,2111682.580419642,269.5268102307714,634888.3473819927
161730,29905.966655877022,43.89906029190102,3.181161976191773,3287276.7964791134,902.5164315905291,987412.5366804316
875910,20219.958209886885,63.403991943317635,2.9295372922241913,2622608.2061478305,293.38193871738724,789007.4171222702
389681,22436.271179162723,17.642825106773454,3.1240179956348544,3032406.4070263384,259.61850664066105,911009.7346397836
154503,45303.77603019367,59.90874597412584,5.213930973187539,3516787.3497242443,181.21902848323487,1055881.341695596
659811,18064.51788414172,46.14141429897833,5.716912214527415,3892315.1138326125,866.1561697645707,1169821.2805706826
532035,26185.48496883073,56.92867705403793,3.6204107781102657,1474190.940546095,525.0553462315324,443860.1573125525
653143,39398.99762431601,23.441136619589074,5.624444008529988,2462680.130654812,691.1485429014471,740765.2632141801
457366,20430.596333742236,68.94989959553456,3.285982804991528,3794876.6259168712,277.1130648712782,1139809.0332659953
70725,31482.2483111658,79.02376620345828,3.9057479453751665,4453479.487555899,770.1383999606556,1337115.6837168958
134981,43255.82172859051,27.339184007262052,2.904115991263999,4012780.1617029957,772.0052677139936,1205116.332717249
89654,47526.510559224465,17.657164441612938,4.561904168703376,1728170.6281735017,346.96812366288515,519175.60973505274
958277,8206.600565522858,11.891086883706912,5.915924460699236,950684.3409342483,440.1485013597687,287505.9263618332
